
"ID_REF"	"GSM310494"	"GSM310495"	"GSM310496"	"GSM310497"	"GSM310499"	"GSM310500"	"GSM310501"	"GSM310502"	"GSM310503"	"GSM310504"
179	-0.7	-1.1		-1.2	-0.6	-0.6	0.5	-2.7	-1.1	-2.4
180	-1.2	-1.5	-0.6	-2.1		0.7	-1.5	-3.6	-2.2	-2.9
181	-0.7	-1.7	-1.7	-2.2		0.5		-2.9	-2.9	-3.1
182	-1.0	-4.0	-1.8	-2.2	-2.6	-2.3	-0.4	-2.8	-1.7	-3.3
183	-0.4	-1.4	-0.3	-1.4	-0.6	-1.8	0.4	-3.6	-0.2	-2.0
184	0.3	-1.7	-0.2	-1.9	-0.1	-0.4	-1.5		-2.3	
185	-0.8	-1.4	-2.1	-0.4		-0.8	-0.1	-1.7	-1.1	-1.6
186	-1.5	-1.0	-2.3	-0.8	-1.5	-3.8	-0.9	-2.6	-1.3	-1.9
187	2.1	-2.7	2.2	-2.8	1.0	-2.5	0.3	-0.7	0.1	-3.5
188	-0.6	-1.5	-2.7	-1.9	0.5	0.8		-2.4	-1.4	-5.7
189	-1.2	-1.8	-1.1	-2.7	1.2	0.7			-1.3	
190	-0.5	-1.2	-1.6	0.7	0.6	0.4	-0.9	-1.2	-0.9	-1.3
191	2.2	-1.8	0.6	-1.1	1.4	0.7	1.0	-1.9	0.7	-1.3
192	-1.0	-1.3	-0.2	-0.9	0.3	0.3		-3.2	-2.1	-2.1
193										
194										
195										
196										
197										
198										
199										
200										
201										
202	2.8	-1.9	6.0	-3.4	8.5	-4.7	-2.1	5.1	1.6	-3.1
203	-1.6	-2.3	0.7	-1.8	-0.4	1.6	-1.2	-1.0	-2.0	-2.5
204	0.5	-0.2	0.4	-1.7	1.6	-0.6	0.5	-0.9	-1.2	-0.9
205										
206										
207	-3.1	-2.0	-0.8	-0.9	-0.9		-0.9	-1.4	-2.5	-2.3
208	-1.0	-3.1	0.7	-2.4	-2.7		1.5	-1.6		-0.9
209	-1.6	-2.3	0.0	-1.5	-0.3	-0.2		-0.8	-1.8	-1.7
210	-0.7	-2.7	0.9	-1.5	-0.8		-1.7	-1.4	-7.6	-3.4
211	-1.2	-2.3	-1.5	-1.4	-2.4	-0.2	-1.3	-1.4		-2.1
212										
213	-2.7	-1.8	-2.8	-0.8				-1.6	0.3	-3.2
214	-1.3	-1.4	-1.3	-0.4	-0.7	0.6	0.0	-1.9	-0.4	-1.6
215	-1.2	-2.4	-1.5	-2.3			-1.7	-1.3	-1.0	-1.9
216	0.1	-1.3	0.1	-2.3	1.3	-0.9	-0.7	-0.5	0.5	-2.4
217	0.7	-0.7	1.1	-2.6	1.2	0.2	-0.2	-0.7	-2.5	-3.9
218	0.4	-2.6	-0.3	-2.1	-0.6	0.6	0.8	-2.0	-3.0	-2.5
219	-1.3	-2.6	0.1	-1.6	-0.4	0.8	-0.4	-1.6	-2.8	-5.5
220	-0.1	-1.4	-0.7	-1.6	0.0	1.5	0.6	-1.7	-2.2	-3.3
221	-1.2	-2.7	0.0	-2.3	-0.1	1.2	0.1	-1.4	-3.1	-3.9
222	-1.9	-2.3	0.1	-2.0	-2.0	2.8	-1.0	-1.3	-3.5	-2.8
223	-1.0	-3.1	0.1	-2.2	0.3	0.1	-0.4	-1.4	-3.1	-4.4
224	-2.4	-2.1	-1.8	-3.2		-0.3	1.5	-1.5		-4.4
225	-2.0	-2.5	-0.5	-3.4	-2.4	-2.1		-1.4	-2.8	-5.0
226	-1.4	-3.2	-0.6	-2.6	-1.7	-0.1		-1.8	-3.0	-6.3
227	0.1	-1.2	-1.5	-1.4	1.8	0.5	1.4	-2.1	-2.7	-2.1
228	-1.4	-3.1	-0.4	-3.3		-0.8		-1.7		-5.6
229	-1.7	-3.1	-0.1	-2.0			-1.4	-1.0	-2.9	-3.1
230	-1.3	-3.0	-1.4	-1.6	0.6	-0.2	-0.1	-1.0	-3.4	-3.9
231	-1.7	-1.8	-1.8	-4.4				-1.2	-3.1	-3.8
232	-0.1	-1.5	-0.7	-2.0	1.2	4.7	0.8	-1.6	-2.8	-1.9
233	-2.8	-2.7	-1.2	-2.6		-5.3		-1.7	-3.2	0.0
234	-1.1	-2.7	-1.4	-2.5		-0.7		-1.9	-2.5	-2.3
235	-1.8	-2.2	-0.2	-2.5	-1.0	1.6	-1.0	-1.2	-3.8	-3.2
236	-3.2	-3.6	-3.1	-3.6				-1.4		-4.6
237	-2.2	-2.8	-2.0	-2.5	-0.2	-1.5	-2.7	-1.6	-3.7	-4.7
238	-1.5	-2.2	0.6	-3.1	-0.7	0.8	-1.8	-0.6		-2.9
239	-2.6	-3.1	-0.9	-2.6	-2.6	0.4		-1.1	-3.5	-3.7
240	-1.6	-2.8	-1.2	-2.3	-0.5	-0.8		-1.8	-2.7	-2.4
241										
242										
243										
244										
245										
246										
247										
248										
249										
250	-1.3	-1.6	-0.1	-1.2	-0.7	2.0	-0.2	-2.0	-3.6	-1.4
251	0.0	-2.2	0.8	-2.0	0.0	0.9	-0.3	-1.8	-2.3	-3.4
252	0.3	-2.3	0.8	-1.6	0.9	-1.1	-0.5	-1.0	-2.3	-3.2
253										
254										
255	0.0	-0.6	-0.2	-1.6	1.2	2.6	0.6	-1.7	-3.3	-2.2
256	-1.1	-1.5	-1.2	-0.6	-1.4	1.2	-0.4	-2.4	-2.6	-3.1
257	-1.4	-2.5	-0.8	-1.7	-2.0	1.3	-1.3	-2.5	-2.0	-3.7
258	-0.5	-1.8	-0.8	-1.3	-0.5	0.5	-0.7	-1.9	-2.0	-2.7
259	-2.0	-0.6	-1.4	-0.8	-1.7	0.8	0.4	-3.0	-2.2	-2.4
260	-0.9	-1.0	-1.0	-2.8			1.1	-2.2	-2.9	-2.9
261	-0.2	-2.1	-0.8	-2.0	-0.9	-0.5	0.2	-2.1	-2.3	-3.9
262	-1.2	-2.0	-1.4	-3.7	-1.4	-0.1			-2.6	
263	0.7	-1.7	-0.3	-2.1	0.1	0.1	0.6	-1.9	-2.1	-2.6
264	0.9	-1.5	-1.0	-0.5	-1.3	1.0	0.1	-1.9	-3.0	-1.3
265	-0.1	-1.1	-1.0	-0.7		-0.3	0.6	-1.6	-1.7	-1.8
266	-0.2	-1.5	0.0	-1.1	0.2	0.7	0.6	-1.5	-0.4	-2.0
267	-0.9	-1.6	-2.0	-0.5	-2.3	-1.4	0.3	-2.1	-1.8	-2.7
268	0.8	-1.1	0.7	-1.1	1.0	0.0	0.5	-0.9	0.1	-0.2
269	-1.4	-0.7	-1.4	-1.0	-2.4	-1.7		-3.1	-2.3	-1.7
270	-0.6	-0.2	-1.3	-0.7	-1.7		-1.0	-1.7	-1.0	-2.1
271	0.2	-1.3	0.8	-1.6	-0.9	1.1	-0.3	-1.4	-1.8	-3.0
272	0.6	-1.4	-2.8	-1.3		-1.6	-1.9		-1.4	
273	-0.3	-2.1	-1.0	-0.6		-0.6	-1.5	-2.9	-1.2	-2.6
274	-0.2	-1.5	0.1	-0.7	-1.5	-1.1	-0.5	-0.9	-2.0	-2.6
275	-0.9	-1.4	-1.5	-0.1		-0.5	-0.2	-0.9	-1.9	-2.2
276	-1.2	-1.8	-0.7	-2.1		-1.1	0.5	-1.4	-1.7	-3.3
277	-1.0	-1.8	-0.4	-1.4		-2.1			-2.2	
278	-1.4	-4.2	-1.8	-1.0	-2.8	-2.3	-0.4	-2.5	-2.2	-3.5
279	-0.8	-1.6	-0.2	-1.0	-1.3	-0.1	-1.9	-3.7	-0.9	-2.0
280	0.0	-1.7	-0.2	-1.3	-2.2	-1.2	-0.8	-2.0	-1.9	-2.9
281	-0.8	-1.7	-0.2	0.4	-2.1	-0.7	0.4	-1.2	-2.5	-3.2
282	-1.3	-1.2	-1.1	-0.3		-0.6	-0.4	-1.6	-1.8	-1.9
283	1.8	-2.9	2.1	-2.8	0.3	-1.0	0.2	0.0	-0.2	-3.4
284	-0.8	-1.9	0.1	-1.9	-1.5	-2.1	1.2	-2.7	0.0	-3.4
285	-1.4	-1.6	-2.4	-0.9	-0.9	-1.7		-3.0	-1.7	-2.8
286	-0.8	-1.4	-1.7	0.8	0.9	-1.0	0.1	-0.7	-0.9	-1.9
287	1.8	-1.8	0.9	-1.1	1.3	-0.6	1.2	-1.4	0.6	-1.4
288	-1.5	-1.2	0.7	-0.5	1.1	-1.1	-1.4		-2.7	
289										
290										
291										
292										
293										
294										
295	0.3	-1.1	0.5	-2.0	-0.4	2.6	0.0	-1.9	-1.9	-2.0
296	0.9	-0.3	0.1	-1.6	2.2	1.8	0.8	-0.9	0.1	0.0
297	-1.4	-2.4	0.8	-2.5	-0.7	1.5	-0.9	-2.3		-2.1
298	-0.7	-2.7	0.6	-2.4	0.9	0.2	-0.5	-0.9	-1.1	-2.1
299	-1.0	-2.1	0.4	-2.4	0.3	0.8	-0.3	-0.9		-2.3
300	3.6	-2.3	6.0	-3.3	8.7	-6.8	-1.9	5.9	-2.2	-4.0
301	-2.1	-2.3	-1.5	-1.7	-2.0	0.0	-1.2	-1.8		-3.6
302	-1.0	-2.3	0.0	-1.9	-0.6	5.1	0.0	-1.9	-1.5	-2.3
303	-2.1	-1.8	-2.9	-2.8	0.3	0.5	-1.6	-1.2	-0.2	-3.1
304	-0.8	-1.9	-0.6	-2.0	0.5	0.3	-0.4	-1.4	-0.8	-2.4
305	-2.3	-1.4	-0.5	-3.0	0.4	-0.9		-1.0	-1.4	-3.3
306										
307	0.5	-1.9	-0.7	-0.8	4.3	1.1	0.7	-1.3	-0.9	-0.3
308	-0.1	-2.1	0.2	-2.3	0.3	2.7	0.0	-2.1	-0.2	-2.4
309	0.9	-0.9	0.8	-1.1	3.8	3.0	0.6	-1.1	1.5	-1.1
310	-1.2	-2.4	-0.1	-1.9	0.0	0.7	0.1	-1.7	-1.7	-1.9
311	0.2	-2.4	0.8	-2.7	1.1	2.3	0.1	-1.0	-1.2	-1.5
312	0.2	-1.2	-0.4	-2.0	1.3	0.0	0.7	-1.6	-0.1	-2.5
313	-2.3	-1.9	-1.1	-2.0	-1.7	2.3	-1.5	-1.3	-3.3	-2.0
314	-2.3	-2.2	-1.1	-2.5			-2.7	-2.7		-3.2
315	-1.4	-2.3	-0.2	-1.8	-0.1	2.1	-1.0	-1.4	-3.9	-3.2
316	-1.1	-2.1	-1.2	-1.8	-0.4	-1.3		-1.6	-3.4	-2.4
317	-0.9	-2.5	-1.1	-2.3	0.0	-0.9	-2.6	-1.6	-3.3	-2.6
318	0.7	-3.2	1.0	-3.1	0.7	-0.4	-2.2	-1.6	-2.9	-2.1
319	-0.3	-2.0	0.1	-2.1	-0.2	2.7	0.4	-0.7	-2.4	-2.1
320	-1.3	-2.9	-0.2	-2.9	-0.7	0.4	-1.0	-2.1	-3.7	-4.1
321	-1.1	-2.9	-0.2	-2.2	-1.8	0.0	-2.0	-1.7	-3.1	-3.5
322	-1.2	-2.1	-0.7	-1.4	-0.9	2.3	-1.1	-2.2	-3.4	-2.5
323	0.0	-3.0	-0.6	-2.6	-1.2	-0.8	-1.6	-1.3	-3.2	0.0
324	0.0	-3.1	-0.7	-2.4	-0.2	-2.0	-2.2	-2.2	-3.5	-4.2
325	0.9	-0.7	0.0	-2.4	-1.6	0.2	-1.2	-2.0	-2.5	-3.7
326	-1.1	-2.8	-1.8	-2.3	-0.6	0.4		-1.6		-3.5
327	0.9	-3.1	-0.5	-1.4	2.5	-0.6	0.4	-1.7	-2.0	-2.7
328	-1.3	-2.3	-0.7	-2.0	-0.4	-1.0	-1.4	-1.1	-2.8	-4.1
329	-1.2	-2.5	-2.3	-3.4		-3.3	-1.8	-0.9	-2.8	-4.5
330	-1.2	-2.2	-0.5	-2.5	-1.0	0.3	-1.4	-0.7	-4.3	-4.1
331	-1.1	-3.1	-0.6	-2.0	-0.8	-0.1	-2.0	-1.7	-3.7	-3.3
332	0.6	-2.9	0.1	-2.3	0.3	-0.1	-0.6	-1.1	-3.1	-2.6
333	-0.6	-3.3	-0.8	-1.8	-1.4	-1.0	-1.0	-1.3	-2.8	-3.3
334	-1.9	-2.2	-0.8	-3.0	-1.0	-0.6	-1.7	-1.5		-3.2
335	-0.4	-2.2	0.7	-2.1	0.7	0.3	-0.5	-1.4	-2.0	-2.1
336	-1.1	-2.0	-1.2	-2.3	-1.6	-0.9		-1.4	-4.2	-4.6
337										
338										
339										
340										
341										
342										
343	1.0	-0.3	-0.6	-1.7	1.9	1.9	0.4	-0.7	-0.6	0.2
344	-0.5	-1.8	-0.9	-2.1	-1.3	2.1	0.4	-1.1	-2.4	-1.4
345	4.2	-1.0	4.8	-4.1	9.2	-6.8	-1.4	2.6	1.7	-4.2
346	1.1	0.4	-0.5	-1.3	2.3	2.1	0.6	-0.8	-1.3	0.5
347	-0.6	-1.6	0.9	-2.5	-0.1	0.8	-0.9	-0.9	-3.8	-3.6
348	4.0	-2.0	4.3	-2.2	0.4	-0.6	-1.3	-0.6	-0.6	-3.2
349	1.6	-1.2	1.1	-1.8	2.9	-0.1	-0.3	-0.4	-1.3	-2.4
350	0.9	0.5	0.1	-1.1	0.9	2.1	1.2	-1.2	-2.3	-0.4
351										
352	-2.1	-1.9	-3.6	-2.3						
353										
354	-2.6	-2.4	-4.0	-2.1	-2.3		-2.3		-1.3	
355	-0.3	-0.8	0.7	-2.3	0.0	1.0	-0.7	-1.0	-1.6	-2.5
356	-0.8	-1.7	-0.3	-1.7	-0.3	1.4	-0.2	-1.4	-2.3	-2.4
357	-0.7	-1.9	0.7	-2.2	-0.9	0.4	-1.5	-1.6	-1.6	-2.4
358	-0.6	-1.8	0.0	-1.8	0.2	0.4	0.1	-1.3	-1.9	-2.3
359	-0.2	-1.7	-0.1	-2.0	1.0	0.2	0.3	-1.1	-1.0	-2.5
360	-0.3	-1.6	0.8	-2.9	-0.5	2.0	-0.1	-1.5	-1.4	-2.1
361	-0.4	-2.0	-0.7	-1.2		0.5		-2.4	-2.6	-2.6
362	-1.1	-1.7	-2.1	-1.8		-1.2			-2.2	
363	-1.2	-1.7	-1.2	-0.3	-1.9	0.9	-0.5	-1.4	-2.0	-1.5
364	0.4	-1.9	0.1	-1.3	-0.1	-0.6	-0.1	-1.7	-0.1	-2.1
365	-0.5	-1.3		-1.2		-2.2		-4.0	-1.3	-2.5
366	-0.6	-2.0	-0.3	-0.6	0.3	-0.5	1.6	-2.2	-0.4	-0.5
367	-1.9	-1.0	-1.2	-0.7	-1.3	1.5	0.7	-2.0	-2.1	-1.6
