"";"GSM109131";"GSM109132";"GSM109133";"GSM109134";"GSM109135";"GSM109136";"GSM109137";"GSM109138";"Sequence.Source";"Target.Description";"Representative.Public.ID";"Gene.Title";"Gene.Symbol";"ENTREZ_GENE_ID";"RefSeq.Transcript.ID";"Gene.Ontology.Biological.Process";"Gene.Ontology.Cellular.Component";"Gene.Ontology.Molecular.Function";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"200046_at";1025,4;890,2;1160,1;1082,5;1079,6;950,6;971,9;853,2;NA;NA;NA;NA;NA;1603;NA;NA;NA;NA;115,125;1001,6875;1,96458755361168;0,0881907937669878;0,135606774247467;-4,54799952351506
"200047_s_at";527,8;578,8;449;535,1;637,3;598,8;433,1;520,4;NA;NA;NA;NA;NA;7528;NA;NA;NA;NA;-46,4749999999999;535,0375;-1,01270458625433;0,34333048870692;0,426972130380259;-4,59513007579868
"200048_s_at";747,8;683;634,5;606,5;661,5;597;725,1;438,1;NA;NA;NA;NA;NA;10899;NA;NA;NA;NA;111,075;636,6875;2,10467808021898;0,0714328616680755;0,113819387153463;-4,54121286283108
"200049_at";140,6;155,5;114,9;139,2;160,7;148,5;109,2;158;NA;NA;NA;NA;NA;11143;NA;NA;NA;NA;-18,95;140,825;-1,38810659823891;0,205672494588829;0,277662867026338;-4,57708524183008
"200050_at";303,1;289,8;249,4;245,1;268,3;279,8;340,1;295,1;NA;NA;NA;NA;NA;7705;NA;NA;NA;NA;12,7749999999999;283,8375;0,580085757104471;0,579176002814832;0,653411236976148;-4,61170832609169
"200052_s_at";638,6;574;460,5;403,7;572,5;496,6;624,9;452,2;NA;NA;NA;NA;NA;3608;NA;NA;NA;NA;92,5;527,875;1,86613454654887;0,102206002213297;0,153419496295311;-4,55287491078589
"200053_at";239,1;255,3;232,7;267,4;232,5;371,6;291,5;441,2;NA;NA;NA;NA;NA;9552;NA;NA;NA;NA;-84,925;291,4125;-1,9903377718584;0,0848450990317042;0,13137153053306;-4,54673780231337
"200055_at";373;339,3;391,1;277,8;439,3;336,6;538,4;359,5;NA;NA;NA;NA;NA;6881;NA;NA;NA;NA;107,15;381,875;2,83573996758504;0,0239120101772428;0,0464350950877207;-4,50974611198942
"200057_s_at";1072,8;1147,1;1377,5;1610,3;1199,2;1430,1;1437,7;1720,7;NA;NA;NA;NA;NA;4841;NA;NA;NA;NA;-205,25;1374,425;-1,50830110711242;0,173144273181123;0,239751506668651;-4,57100139381964
"200058_s_at";378,2;296,1;373,9;265,2;347;277,7;381,9;301,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85,2;327,65;6,6639773338423;0,000230149576609702;0,00181312162906424;-4,43668202883813
"200059_s_at";2151,4;1915;2101,9;2142,1;1988,1;1938,6;1756,1;2181,9;NA;NA;NA;NA;NA;387;NA;NA;NA;NA;-45,0249999999999;2021,8875;-0,445812095594406;0,668553608156866;0,730934397579377;-4,61537608677913
"200060_s_at";610,6;621,7;754,5;565,2;796,8;701,3;711,3;813,8;NA;NA;NA;NA;NA;10921;NA;NA;NA;NA;42,8000000000001;696,9;0,701489150049104;0,504568808350108;0,585169171346105;-4,60771675853449
"200061_s_at";2926,8;3129,8;3338;3803,9;2978,9;3320,8;3131;4285,6;NA;NA;NA;NA;NA;6229;NA;NA;NA;NA;-541,35;3364,35;-2,17883392136332;0,0638789014545015;0,103495746405572;-4,53770420438551
"200062_s_at";2635;3134,6;2665,8;3353,6;2771,3;3574,6;2949,9;3396,3;NA;NA;NA;NA;NA;6156;NA;NA;NA;NA;-609,275;3060,1375;-5,85208574450848;0,000522518310488999;0,00309725787084849;-4,44429861759052
"200063_s_at";2282;2199;2541,6;2385,6;2419,2;2289,5;2126,3;2807,8;NA;NA;NA;NA;NA;4869;NA;NA;NA;NA;-78,2000000000007;2381,375;-0,535257764512014;0,608258210563141;0,679458186135898;-4,61302468184741
"200064_at";2407,7;2593,1;2671,7;2278,6;2563,3;2537,6;2681,5;3389,4;NA;NA;NA;NA;NA;3326;NA;NA;NA;NA;-118,625;2640,3625;-0,529018089769609;0,612368380855647;0,683362263868247;-4,61320078284412
"200065_s_at";1344,2;1449,4;1506,7;1736,3;1325,3;1580,7;1262,8;1591,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-229,825;1474,6625;-3,23038913365197;0,0134859296827719;0,0299723303153723;-4,49585274921539
"200067_x_at";574,4;507,6;526,7;404,5;640,8;492,1;627,1;461,9;NA;NA;NA;NA;NA;8724;NA;NA;NA;NA;125,725;529,3875;3,91002888082237;0,00527621263895201;0,0150275635623326;-4,47662484953148
"200068_s_at";1791,1;2002,2;2057,5;2141,1;1971,1;2089,9;1961,6;2213,9;NA;NA;NA;NA;NA;821;NA;NA;NA;NA;-166,45;2028,55;-2,56690497327468;0,0356414514557356;0,0638556843177921;-4,52046780255856
"200071_at";249,5;216;240,8;196,2;236,2;169;231,4;129,1;NA;NA;NA;NA;NA;10285;NA;NA;NA;NA;61,9;208,525;3,27851701749232;0,0125923318763687;0,02842884337706;-4,49430369800375
"200072_s_at";653,1;719,5;751,2;942,4;631;819,7;983;1069,8;NA;NA;NA;NA;NA;4670;NA;NA;NA;NA;-133,275;821,2125;-1,33072725098809;0,223025790261217;0,297474841285015;-4,57995897890619
"200074_s_at";1405,5;1519,9;1624,5;1849,5;1366,2;1839,4;1520,2;1771,3;NA;NA;NA;NA;NA;9045;NA;NA;NA;NA;-265,925;1612,0625;-3,03497448470192;0,0178678376196418;0,0369326275174881;-4,50246237186588
"200076_s_at";203,5;203,7;189,7;185,7;225,1;193,7;237,4;251,7;NA;NA;NA;NA;NA;79036;NA;NA;NA;NA;5,22499999999999;211,3125;0,288691046189965;0,78078029526823;0,822700390802457;-4,61855079560385
"200077_s_at";1944,2;2123,5;1985,2;2322,8;1979,6;2238;1977,3;2003,7;NA;NA;NA;NA;NA;4946;NA;NA;NA;NA;-200,425;2071,7875;-3,14904381870942;0,0151529806788781;0,0325695258090127;-4,49854110644389
"200078_s_at";326,9;306,2;268;255,4;316,4;300,2;371,2;344,6;NA;NA;NA;NA;NA;533;NA;NA;NA;NA;19,0249999999999;311,1125;0,722260095994855;0,492440305157212;0,573017694289369;-4,60697548266243
"200079_s_at";718,2;745,7;717,2;702,3;664,5;789,8;752,3;834,9;NA;NA;NA;NA;NA;3735;NA;NA;NA;NA;-55,125;740,6125;-1,75466773237002;0,12066109711111;0,176189549761124;-4,55847545522716
"200080_s_at";1658,5;1510,5;1557;1198,7;1673,9;935,5;1102,4;1178,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;292,125;1351,8875;1,80819065745156;0,111434174258944;0,165526986850542;-4,55577721720939
"200081_s_at";2704,7;3068,4;2734,3;3247,9;2793,9;3323,3;2788,5;3915,4;NA;NA;NA;NA;NA;6194;NA;NA;NA;NA;-633,400000000001;3072,05;-3,79282354162484;0,00617377221121846;0,0167465378666647;-4,4795578603931
"200082_s_at";2394,1;2589,1;2820,7;3111,9;2446,7;2971;2468;3416,4;NA;NA;NA;NA;NA;6201;NA;NA;NA;NA;-489,724999999999;2777,2375;-2,74594713109574;0,0273035011861558;0,0515970212956479;-4,51321272558461
"200083_at";493,5;456,3;431,4;427,3;493,9;471,8;558,2;367,5;NA;NA;NA;NA;NA;23326;NA;NA;NA;NA;63,525;462,4875;1,97600764213653;0,0866913916138311;0,133634190680882;-4,5474392180132
"200084_at";578,1;599,8;604;612,1;599,7;636;551,4;412,8;NA;NA;NA;NA;NA;10944;NA;NA;NA;NA;18,1250000000001;574,2375;0,376028326791035;0,71750151359935;0,771433457343444;-4,61694185403032
"200085_s_at";392,2;449,7;433,5;470,3;470;471,8;525,5;512,5;NA;NA;NA;NA;NA;6923;NA;NA;NA;NA;-20,775;465,6875;-0,712992230893244;0,497828416558856;0,577955481933086;-4,60730823434677
"200086_s_at";568;557,5;621,4;723,6;537,1;536,9;608,8;645,3;NA;NA;NA;NA;NA;1327;NA;NA;NA;NA;-32;599,825;-0,741606951026438;0,481315534624215;0,563021583677947;-4,60627064860809
"200087_s_at";1132,2;1019,7;1297,8;1247,1;1250,9;1120,1;946,1;996,6;NA;NA;NA;NA;NA;10959;NA;NA;NA;NA;60,875;1126,3125;0,692732793638469;0,509738721054124;0,589564526600292;-4,60802436770416
"200088_x_at";2461,7;2917,3;2489,4;3050,5;2515,7;3172;2985,8;3398,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-521,425;2873,8625;-3,57709927681387;0,00828732534060633;0,0207706701000576;-4,48535565251226
"200089_s_at";1775;1655,6;1601;1870,3;1829,6;1944,9;1709,4;2043,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-149,825;1803,6625;-1,723698135794;0,126326214631895;0,183237345538142;-4,56004292102224
